sleep_hours,stress_level,exercise_minutes,screen_time,social_interaction,mood_score,water_intake,risk_level
7.745071229516849,6,11.517742813614994,5.978168637853102,1,8,8,0
6.792603548243223,10,27.004875986001768,5.8473383999184625,9,10,3,1
7.971532807151039,9,7.0761428431122235,4.130226614573261,2,8,8,1
9.284544784612038,7,3.710206311272279,5.5538603764185845,6,1,5,1
6.648769937914996,10,105.3138516384764,8.380672681218737,10,10,7,1
6.648794564576229,5,0.6668104456800497,8.074922207017945,5,6,11,1
9.368819223261088,8,48.69050145550756,7.9359474885486705,10,1,2,2
8.151152093729364,2,46.540044538158725,7.871737658439685,8,6,3,0
6.295788421097572,7,10.581090155324162,6.87346511112967,3,7,6,0
7.8138400653789475,4,4.3725133839675845,6.802414326965991,6,2,6,1
6.304873460781307,9,4.721680193569695,6.489500653369547,6,9,11,1
6.301405369644614,1,35.86343905015916,5.1662294398949715,10,8,5,0
7.362943407349051,7,30.884336467169607,6.1673987972310185,3,9,3,0
4.130079633013303,6,45.800598109465284,6.431199367411733,7,10,6,0
4.412623251230451,8,83.16862577968803,7.266337206632104,4,4,6,2
6.1565687061385415,5,35.3225907078869,6.200512974090319,5,4,5,0
5.480753319498364,1,5.082806858870155,10.210322761944836,9,8,5,1
7.471370998892911,1,8.369306851461598,3.5803756058841762,6,1,8,0
5.637963886718183,9,55.39161429156758,7.5089513995414,10,8,9,1
4.881544447997063,10,7.045330021663264,5.917512586721893,4,7,2,2
9.19847315338233,6,2.258596385894283,6.004292564253084,8,7,3,1
6.661335549270197,10,36.44899583798894,4.374848435378384,9,9,4,1
7.101292307031886,5,15.451353172687828,8.03868653449737,10,10,5,0
4.862877720679815,1,75.78688279507574,7.305683068642314,5,7,3,1
6.183425913212226,6,31.51653494211786,7.667274793607383,2,2,4,1
7.166383884564799,6,2.843136019515443,6.338490809637929,6,1,1,1
5.273509633866546,3,88.61271106634995,5.35021037071955,8,1,8,1
7.563547027518508,8,8.974720414295877,5.866876902911086,5,7,4,1
6.099041965121793,1,12.339025155516085,6.86693130011128,1,5,7,1
6.562459375310085,1,15.438002827956204,1.9888476541605185,8,4,4,0
6.097440081655905,6,1.5774857572594727,7.7458657351509155,9,5,5,0
9.778417276763406,10,20.586065920304502,10.852385629366132,1,10,10,1
6.979754162893099,1,3.9483453686816015,6.960670093906953,8,10,5,0
5.41343360656615,6,15.373324320323183,5.438146751584452,10,6,7,1
8.233817368154783,1,12.95626482794866,5.677529490641461,2,10,9,0
5.168734525043467,6,44.463030936952435,7.415084701868338,4,6,5,1
7.313295392507133,3,48.762523989725636,5.4834226733697635,2,1,12,1
4.060494814180337,8,4.996265028882878,7.737350542678354,2,2,8,2
5.007720926652354,6,13.697282501995204,5.651718565739512,10,3,12,1
7.295291853803685,1,14.021164568136532,9.428366933248675,3,4,8,1
8.107699869993116,5,4.925389606321466,9.373192272044376,8,6,3,1
7.257052421784956,8,48.052055401497384,5.339660664118118,4,9,9,0
6.826527576417639,3,36.8508675406498,5.837952326522401,7,2,2,1
6.548344456616067,6,6.335774506177193,5.95526227624332,10,8,9,0
4.782217014448859,5,13.705368911862893,5.982067348472521,3,9,3,1
5.920233687407937,6,3.3549430375734715,4.105141909878648,10,2,6,2
6.309041843560319,10,29.682508425387073,3.8254786314512956,3,9,5,1
8.585683339328373,1,3.8818077957558117,8.499515143095913,2,7,5,1
7.515427434352692,7,127.92020187869169,8.179574028408334,6,9,6,0
4.355439766955899,9,45.51698664387864,8.145041428354542,6,6,7,1
7.486125954092192,2,14.840623895771742,5.861243266119342,1,2,8,1
6.422376579375525,10,25.92261573150254,9.78402353997939,7,8,6,1
5.984616999541062,5,72.68900805177003,5.955062046650865,4,10,4,1
7.917514433261302,10,24.22976860577673,7.725752347799482,3,9,7,1
8.546499283743927,4,5.752925461972119,3.2227559709300317,8,8,4,0
8.396920178674298,6,14.27839868490827,5.540529337004299,2,2,5,1
5.741173715166042,6,55.57297820357959,5.688357888852367,9,8,4,1
6.5361814362231785,2,31.002692602200202,5.86902492395677,8,3,2,1
7.496895147105346,2,31.55681816248659,3.349002064008628,8,3,4,1
8.463317690683539,4,60.48194513563106,7.4077618556485145,3,9,5,0
6.281238643232065,1,67.32186126855004,8.057220622606756,4,9,5,0
6.721511535004274,9,75.69417441584133,4.512281221754169,2,9,4,1
5.340497538990958,7,2.989611356259947,3.7053169673573416,2,4,6,1
5.205690063878993,7,23.566164832371054,4.4621167502121555,4,7,9,0
8.218788733591296,3,40.471058030360105,6.990997338280362,6,8,7,0
9.034360042856235,3,42.43178496263035,4.8067932901832915,5,5,5,0
6.891984817629499,1,27.996713859995012,5.731869500727248,1,1,5,1
8.505299346838036,3,5.47399108497652,3.8530785105946097,10,9,5,0
7.542454037571451,3,47.89869429484038,9.958572811002927,1,6,5,0
6.032320368092313,4,38.200901237423835,6.146397256325566,6,3,5,1
7.5420934082626205,4,2.702197953440251,8.299430658453261,3,3,5,2
9.307054849698954,3,18.697991283829737,6.986339668477673,3,10,5,0
6.946260941335073,10,5.733994334451759,5.916239890069862,7,1,5,1
9.346965483721009,8,12.351002212247021,5.812675350221444,1,8,8,1
3.0703823438653837,8,0.5473965797500238,4.54951264672443,1,2,5,2
8.232853756562836,1,15.341266669062094,5.099073698232549,10,1,8,1
7.130570602357257,7,23.947026752179784,3.984395336802991,3,7,6,0
6.551488974301199,2,28.994585675301217,3.76626805613411,8,9,4,0
7.137641164803253,1,32.673853148084056,10.172750835102704,1,6,3,1
4.018646628098661,3,54.290001901610395,6.557824730163886,10,8,7,1
6.670492168243732,4,7.279842777985121,8.93143448340812,4,8,4,1
7.53566885726762,6,3.851431408648956,4.411875485927956,9,9,4,0
9.216841067112274,10,57.222620036536846,3.4967928150705117,4,7,6,1
6.222594672589529,5,5.109873963265843,4.044443578082298,10,9,2,0
5.787259595660219,4,110.37985391478048,5.155856229820608,8,9,3,1
6.247364434623195,8,55.45717729559423,6.07299986365232,7,1,7,1
8.373103176553112,4,20.847057930407782,5.698126766312014,3,6,3,1
7.493126664489527,10,119.57238719136075,4.4536180630267435,7,8,4,1
6.205359694349442,2,3.073500295693425,6.175430018635528,7,10,7,0
7.769901149670034,3,10.831926646829615,6.350772249079894,10,9,4,0
7.14561632402206,6,30.501935713334586,7.404552855103157,3,4,2,0
8.452967485799334,8,12.92380449090293,8.940864606025077,2,2,8,2
5.946920359183972,8,79.08830778757948,5.272212420982154,9,9,6,1
6.508506780103348,9,2.036357610263583,8.430961187269265,1,9,6,1
6.411837770301764,7,23.916045293588574,6.131875186855974,7,8,7,0
4.804727577801822,2,26.811396053994084,2.945362025164437,4,3,4,2
7.444180415596864,8,31.72941902550867,9.566541620791675,2,5,12,1
7.391582908269834,7,8.857971605908212,10.545072883799381,2,2,8,1
7.0076701849636915,8,13.603431653342328,7.238192956103102,8,3,7,2
6.64811929993728,3,55.67560437093859,6.179569928838263,7,1,4,1
4.876943886924378,7,6.50525728930973,5.457189879671007,7,4,5,1
6.369032015851961,10,52.611002607836255,5.072104061031183,5,5,8,0
6.485928225209846,9,24.81101665951974,8.421402506295033,10,2,7,2
5.796584096167572,3,43.08818333991525,5.965453523903654,8,3,9,1
6.758071432500986,10,37.51174693260306,9.347879594489537,2,6,5,1
7.606076285221808,6,6.97731835660248,6.069724830658331,2,6,3,1
9.829278851815795,2,25.236383910236615,5.175306613153185,5,7,8,0
7.261866719247759,2,60.685746764459466,4.797399070976534,1,9,6,0
7.386325586084147,5,16.97515570379962,4.512567829411004,6,4,4,0
6.888331126350749,5,101.96769229665779,7.028291652812092,4,5,12,0
4.121843177051438,7,18.056177625703157,3.411013290283977,6,2,6,1
6.960229186826175,2,4.622017782581082,4.363325033327493,7,6,9,0
7.09034531491154,7,14.80109991045231,8.64896525168214,3,4,4,1
10.69486316872793,5,90.9112062394502,4.090901378351044,8,5,6,0
6.711458552828316,6,11.557561481214202,7.725409843980033,7,7,4,1
7.452321013500419,8,60.77091805158679,1.8739763769983693,1,6,5,1
6.947932345442135,10,63.92221729688805,8.900174084351503,6,8,7,1
5.246982943570702,4,12.93209753352628,3.459536321944907,7,6,6,1
8.71423422177253,7,2.6078647662971495,4.247212513050482,4,10,6,0
8.127899549030161,6,38.681336072018944,7.36068515597265,2,8,5,0
8.186547920564571,10,11.197734733938294,6.540816268416098,10,4,6,1
5.635918817807892,2,45.825179380570454,7.789974872189615,9,7,5,1
9.10419146640415,8,17.53711706868258,3.4434747414848497,7,3,8,1
4.8972234058115784,10,19.92319376385812,5.426389181332922,1,1,5,2
7.880285640700405,9,45.14009707924882,4.765843581579126,8,9,4,1
10.285683438714969,5,14.455647262591537,3.779622403695153,3,9,8,1
5.514195512303967,10,17.56256077034036,7.191794917040732,4,6,9,1
6.150553405595842,4,14.157305868608749,7.886102893213591,5,2,4,1
7.1494770476314615,6,13.734688212168848,5.326267589918933,1,8,4,1
6.244786518825701,8,22.39305770037199,9.04542259859234,6,10,9,1
4.674004853400801,3,49.63297119121041,4.428599558243315,10,6,4,1
7.102844462209041,10,13.471617423078971,8.996934648274083,6,7,6,1
